industry_code,Variable
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
L,Activity unit
L,Rolling mean employees
L,Salaries and wages paid
L,"Sales, government funding, grants and subsidies"
L,Total income
L,Total expenditure
L,Operating profit before tax
L,Total assets
L,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
